Name,People,Accommodation,Region,Year,Month,Week,Duration,Service,Result
Mr. X,6,Hotel room,Countryside,2019,1,3,1 month,true,6 results
Ms. Y,5,Villa,Countryside,2019,2,2,2 weeks,false,6 results
Mr. X,8,Shared room,Suburbs,2018,3,1,1 week,true,0 results
Mr. X,2,Shared room,City centre,2019,4,1,3 weeks,false,10 results
Mr. X,8,Apartment,Countryside,2018,5,3,2 weeks,false,6 results
Ms. Y,7,Shared room,Countryside,2019,6,3,1-3 days,false,0 results
Ms. Y,6,Villa,City centre,2018,7,4,1 week,false,0 results
Ms. Y,5,Villa,City centre,2018,8,3,1 month,false,0 results
Mr. X,4,Hotel room,City centre,2019,9,4,3 weeks,true,2 results
Ms. Y,3,Apartment,Countryside,2019,10,3,2 weeks,false,5 results
Ms. Y,2,Private room,Suburbs,2019,11,2,1 week,false,6 results
Mr. X,1,Shared room,City centre,2018,12,1,1-3 days,true,10 results
