# ACTS Test Suite Generation: Tue Mar 03 11:14:22 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 1
# Number of parameters: 9
# Maximum number of values per parameter: 12
# Number of configurations: 12
Name,People,Accommodation,Region,Year,Month,Week,Duration,Service
Ms. Y,2,Private room,Suburbs,2019,1,2,1 week,false
Mr. X,3,Apartment,Countryside,2018,2,3,2 weeks,true
Ms. Y,4,Hotel room,City centre,2019,3,4,3 weeks,true
Ms. Y,5,Villa,Countryside,2018,4,1,1 month,false
Ms. Y,6,Shared room,City centre,2018,5,1,1-3 days,true
Ms. Y,7,Hotel room,Countryside,2018,6,4,2 weeks,false
Mr. X,8,Shared room,Countryside,2018,7,2,3 weeks,false
Ms. Y,1,Hotel room,Countryside,2019,8,3,2 weeks,true
Ms. Y,3,Apartment,Countryside,2019,9,2,2 weeks,false
Ms. Y,6,Shared room,City centre,2019,10,3,1-3 days,false
Ms. Y,1,Villa,City centre,2019,11,3,2 weeks,true
Ms. Y,5,Hotel room,Suburbs,2019,12,4,2 weeks,false
